date,time,username,tweet,preprocessing,Nama Universitas,label,geo
2024-04-30,13:29:57,jiegree,selain kasus salah sasaran kipk ada jg yg disebut disni yaitu pkh (gatau kepanjangannya apa) intinya selain uang dpt bahan' lain kek buah beras telur dll ini jg sma kasusnya yg dpt org berkecukupan,salah sasar kipk ada program keluarga harap panjang inti uang bahan buah beras telur kasus orang cukup,,Negative,"<NA>,<NA>"
2024-04-30,13:29:17,whosrahmah,Makin banyak yang ke spill yang kipk tapi ternyata hidupnya hedon alias salah sasaran. Kasian banget yang haknya direbut sama manusia-manusia itu,spill kipk hidup boros alias salah sasar kasihan hak rebut manusia manusia,,Negative,"<NA>,<NA>"
2024-04-30,13:26:44,gagagagawrra,@personality404_ the thing isss apakah that influencer mau diwawancara ttg kipk salah sasaran kek bjirr keknya orang biasa juga belum tentu mau,personality404 the thing isss that influencer wawancara kipk salah sasar bjirr orang,,Negative,"<NA>,<NA>"
2024-04-30,13:26:10,samohaec,Banyak amat kipk salah sasaran inimah yg salah jd yg seleksi kipk nya gasih,kipk salah sasar inimah salah seleksi kipk nya sih,,Negative,"<NA>,<NA>"
2024-04-30,13:24:13,Nazifamulya,@boomboomna @undipmenfess ini undip bnyk bener ee kejadian kipk salah sasaran,boomboomna undipmenfess undip tahi jadi kipk salah sasar,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,13:23:49,jeon_nayoung13,Lagi rame masalah kipk yg salah sasaran ya? Pgn ikutan marah tapi energi udh terkuras abis sih sebenernya. Wkwkwk. Cuman kuat berbagi cerita aja. Selama kuliah ortu cuman nanggung ukt doang. Sedangkan(-),ramai kipk salah sasar ya ikut marah energi kuras habis sih wkwk kuat bagi cerita kuliah o tanggung ukt,Universitas Negeri Gorontalo,Positive,"0.5546668,123.062666148111"
2024-04-30,13:23:43,kerupucc,Beberapa hari ini banyak banget berita tentang kipk yang salah sasaran. Yang dapet orang-orang kaya sedangkan yang bener-bener berhak malah gak dapet dan berujung kerja banting tulang. Yang udah kaya dari orok malah foya-foya pake duit kipk wkwkwkwk,berita kipk salah sasar orang orang hak ujung kerja banting tulang orok foya foya pakai duit kipk wkwk,Universitas Indonesia,Negative,"-6.36031565,106.827185590632"
2024-04-30,13:23:40,UNY_Base,infokan link resmi pengaduan kipk salah sasaran di UNY... daripada spall spill identitas yg masih ngalor ngidul gajelas datanya,info link resmi adu kipk salah sasar uny spall spill identitas utara ngidul data,Universitas Negeri Yogyakarta,Positive,"-7.77301315,110.383763340711"
2024-04-30,13:20:43,mutiarashfr,Tp sebenernya bagus krn banyak bgt kipk yg salah sasaran,bagus kipk salah sasar,,Neutral,"<NA>,<NA>"
2024-04-30,13:20:21,jiegree,ga kelar' kejadian salah sasaran kipk ini klo di tuntas semua,selesai jadi salah sasar kipk tuntas,,Negative,"<NA>,<NA>"
2024-04-30,13:15:37,Menu_Resep,@tanyakanrl Mereka ngendorse satu produk berapa juta tuh dapat duitnya. Semoga sistem kipk diperketat lagi mayoritas penerimanya salah sasaran https://t.co/tTVrZzmHsy,tanyakanrl ngendorse produk juta duit moga sistem kipk ketat mayoritas terima salah sasar,Universitas Indonesia,Neutral,"-6.36031565,106.827185590632"
2024-04-30,13:15:31,ljhW00Z1122,setiap lewat kipk yang salah sasaran gini gue sedih banget seriusan deh soalnya temen gue sampe berhenti kuliah karna gk dapat bdm waktu itu,kipk salah sasar sedih serius deh teman henti kuliah bdm,,Negative,"<NA>,<NA>"
2024-04-30,13:15:03,hcjngsg,banyak bener spillan kipk salah sasaran,spillan kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,13:13:44,Pitik1810,Buka X jadi emosi baca per-spill-an penerima KIPK / Bidikmisi salah sasaran. Takutnya ni bantuan malah tambah diperketat/dikecil kuotanya padahal bagi gue adik gue temen² gue dapet bantuan pendidikan gini bener² bantu kami untuk naikin derajat keluarga,buka x emosi baca spill an terima kipk bidikmisi salah sasar takut nih bantu ketat kecil kuota adik teman bantu didik bantu naik derajat keluarga,,Negative,"<NA>,<NA>"
2024-04-30,13:13:42,Xoxomi22,Banyak bgt yg dpt kipk salah sasaran,kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,13:12:46,ryowoman,@UNY_Base rezeki orang memang sudah diatur sama Tuhan nder tapi banyak tangan-tangan yang juga ambil andil sebagai penyalur rezeki salah satunya rezeki KIPK. Kalo penyalur bener g mungkin bakal salah sasaran. Kalo penerima merasa mampu harusnya malu dan bisa menolak KIPK.,uny base rezeki orang atur tuhan nder tangan tangan ambil andil salur rezeki salah satu rezeki kipk salur salah sasar terima malu tolak kipk,Universitas Negeri Yogyakarta,Negative,"-7.77301315,110.383763340711"
2024-04-30,13:12:14,msftbiscuits,ko bisa yg nerima kipk di Undip banyak yg salah sasaran anj,terima kipk undip salah sasar anjing,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,13:09:30,fanabtic,@tanyakanrl Banyak banget KIPK yang gak tepat sasaran. Salah pemerintah gak sihh??,tanyakanrl kipk sasar salah perintah sih,,Negative,"<NA>,<NA>"
2024-04-30,13:08:28,lemontwea,@tanyakanrl Keep it coming pls biar sistem kipk ini diketatkan lg. Gila ini mah kemungkinan mayoritas penerimanya salah sasaran,tanyakanrl keep it coming tolong biar sistem kipk ketat gila mayoritas terima salah sasar,,Positive,"<NA>,<NA>"
2024-04-30,12:58:01,aaafntsy,ni orang kok sinting banget sih [penerima kipk yg salah sasaran],nih orang sinting sih terima kipk salah sasar,,Negative,"<NA>,<NA>"
2024-04-30,13:00:49,maIborroe,awikwok bgt base undip lg gencer gencernya spill kipk salah sasaran wkwk what a tea,awikwok base undip gencer gencer spill kipk salah sasar wkwk a tea,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,13:05:53,rrchieve,drama kipk ini gila ya banyak bgt yang salah sasaran begini hadeh,drama kipk gila ya salah sasar aduh,,Negative,"<NA>,<NA>"
2024-04-30,12:57:54,peachezsy,kipk undip passwordnya apaa?? salah sasaran semuaaa ,kipk undip passwordnya salah sasar,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,12:56:53,illegurl__,permasalahan kipk atau bidikmisi kan dr dulu emang udh banyak yak wkwk skrg kerasa bngt boom nya pdhl mah dari dulu banyak bngt anak bidikmisi yg salah sasaran literally BANYAK BANGEETTT soalnya dlu kl kuota sisa kan bukaan lagi kek kesannya cm yg pnting menuhin kuota,masalah kipk bidikmisi ya wkwk rasa boom nya anak bidikmisi salah sasar literally kuota sisa buka kesan penuh kuota,,Positive,"<NA>,<NA>"
2024-04-30,12:52:07,pill0ows,@takenpotatoo @sbmptnfess oalahh gitu ya kak tapi kak kebanyakan orang beropini kalo dpt kipk dan punya ip itu ktanya salah sasaran biasanya orang beli macboook itu yg jurusan apa si kak? semua jurusan ya?,takenpotatoo sbmptnfess walah ya kak kak banyak orang opini kipk ip salah sasar orang beli macboook jurus sih kak jurus ya,,Neutral,"<NA>,<NA>"
2024-04-30,12:47:48,adoredle,kupas tuntas penerima kipk yang salah sasaran (hot news1️⃣),kupas tuntas terima kipk salah sasar hot news1,,Negative,"<NA>,<NA>"
2024-04-30,12:47:45,ariyaxk,@pill0ows @takenpotatoo @sbmptnfess Yg pasti ipong nya jadul ga keluar negeri ga nongki2 dan pamer hedon di sosmed. Klo dia bangkrut ya bener2 gaya bangkrut. Bukan pura2 bangkrut klo ente pinter pasti tau apa yg bikin netijen ga suka KIPK yg salah sasaran ke kaum badjingan it,pill0ows takenpotatoo sbmptnfess ipong nya jadul negeri nongki2 pamer boros media sosial bangkrut ya gaya bangkrut pura pura bangkrut pintar bikin warganet suka kipk salah sasar kaum bajing it,,Positive,"<NA>,<NA>"
2024-04-30,12:47:41,chusyxxa,Jirr kagak kelar banyak bgt kipk salah sasaran di undip,anjir selesai kipk salah sasar undip,Universitas Diponegoro,Negative,"-7.0483698,110.440107056068"
2024-04-30,12:46:18,thinkaboutniii,@convomfs jangankan KIPK PIP aja salah sasaran temen gw hp boba punya mobil 2 toko motor&gt;3 bpknya boss tiap hari antar jemput pke mobil. gw heran bisa nya dia dapet padahal masih bnyak tmn gw yg lebih layak buat dapet uang itu ,convomfs kipk pip salah sasar teman handphone boba mobil 2 toko motor 3 bapak bos jemput pakai mobil heran nya teman layak uang,,Negative,"<NA>,<NA>"
2024-04-30,12:46:09,leenvandersun,Lagi rame kasus KIPK salah sasaran. Mana org yg dapet KIPK pada kaya mampus. Bukannya mau adu nasib tapi saya yang org yg tidak pake kip aja kalo beli beli skincase masih mikir. Gak jarang beli basic skincare molor bbrp bulan karna lagi gak ada uang.,ramai kipk salah sasar orang kipk mampus adu nasib orang pakai kip beli beli skincase pikir jarang beli basic skincare molor ada uang,,Negative,"<NA>,<NA>"
2024-04-30,12:44:43,noturslutttt,@miutlak ini kenapa qrt ma komennya pada ga setuju dah? apa kelen yg dapet kipk salah sasaran takut ke spill???? selagi kaga ada promote shop*e affiliate sihh gua dukung bikin thread ginian biar jadi sanksi sosial ma HR gampang nyari wkwkw,miutlak komennya tuju kipk salah sasar takut spill selagi ada promosi shop e affiliate sih dukung bikin thread biar sanksi sosial gampang cari wkwk,Universitas Negeri Gorontalo,Positive,"0.5546668,123.062666148111"
2024-04-30,12:43:38,Seongllerina,Gue harap perspillan terhadap penerima kipk yang salah sasaran ini terus berlanjut dan kalau bisa di kampus-kampus lain juga. Orang-orang kaya mereka emang bisa mampusnya pas kena sanksi sosial doang. Temen gue yg kurang mampu sampe pesimis kuliah karena saingannya orang'' ini.,harap perspillan terima kipk salah sasar lanjut kampus kampus orang orang mampus pas kena sanksi sosial teman pesimis kuliah saing orang,,Positive,"<NA>,<NA>"
2024-04-30,12:39:47,branna136,ini yg dapet kipk salah sasaran di undip sebanyak ini yg ke kuak gimana kalo kampus lain ikutan juga,kipk salah sasar undip kuak kampus ikut,Universitas Diponegoro,Positive,"-7.0483698,110.440107056068"
2024-04-30,12:39:35,Nii095,@lilyxloey @convomfs ojo podo kipk salah sasaran ,lilyxloey convomfs ojek online podo kipk salah sasar,,Neutral,"<NA>,<NA>"
2024-04-30,12:38:21,studynanatwt,emang salah sasaran ya penerima kipk https://t.co/8Hu4i3e5Ok,salah sasar ya terima kipk,,Negative,"<NA>,<NA>"
2024-04-30,12:37:45,serendiprityy,@collegemenfess kann emng sensi skli masalah ini tuh krn kebanyakan emng banyak salah sasaran temenku juga ada yg penerima kipk lancar bgtt ngafe sana sini skinkernya jg ga main2 la roche posayy anjirtttt,collegemenfess sensitif banyak salah sasar teman ada terima kipk lancar ngafe skinkernya main main roche posayy anji ttt,,Negative,"<NA>,<NA>"
