tweet,polarity
selain kasus salah sasaran kipk ada jg yg disebut disni yaitu pkh (gatau kepanjangannya apa) intinya selain uang dpt bahan' lain kek buah beras telur dll ini jg sma kasusnya yg dpt org berkecukupan,negative
Makin banyak yang ke spill yang kipk tapi ternyata hidupnya hedon alias salah sasaran. Kasian banget yang haknya direbut sama manusia-manusia itu,negative
@personality404_ the thing isss apakah that influencer mau diwawancara ttg kipk salah sasaran kek bjirr keknya orang biasa juga belum tentu mau,negative
Banyak amat kipk salah sasaran inimah yg salah jd yg seleksi kipk nya gasih,negative
@boomboomna @undipmenfess ini undip bnyk bener ee kejadian kipk salah sasaran,negative
Lagi rame masalah kipk yg salah sasaran ya? Pgn ikutan marah tapi energi udh terkuras abis sih sebenernya. Wkwkwk. Cuman kuat berbagi cerita aja. Selama kuliah ortu cuman nanggung ukt doang. Sedangkan(-),negative
Beberapa hari ini banyak banget berita tentang kipk yang salah sasaran. Yang dapet orang-orang kaya sedangkan yang bener-bener berhak malah gak dapet dan berujung kerja banting tulang. Yang udah kaya dari orok malah foya-foya pake duit kipk wkwkwkwk,negative
infokan link resmi pengaduan kipk salah sasaran di UNY... daripada spall spill identitas yg masih ngalor ngidul gajelas datanya,negative
Tp sebenernya bagus krn banyak bgt kipk yg salah sasaran,negative
ga kelar' kejadian salah sasaran kipk ini klo di tuntas semua,negative
@tanyakanrl Mereka ngendorse satu produk berapa juta tuh dapat duitnya. Semoga sistem kipk diperketat lagi mayoritas penerimanya salah sasaran https://t.co/tTVrZzmHsy,negative
setiap lewat kipk yang salah sasaran gini gue sedih banget seriusan deh soalnya temen gue sampe berhenti kuliah karna gk dapat bdm waktu itu,negative
banyak bener spillan kipk salah sasaran,negative
Buka X jadi emosi baca per-spill-an penerima KIPK / Bidikmisi salah sasaran. Takutnya ni bantuan malah tambah diperketat/dikecil kuotanya padahal bagi gue adik gue temen² gue dapet bantuan pendidikan gini bener² bantu kami untuk naikin derajat keluarga,negative
Banyak bgt yg dpt kipk salah sasaran,negative
@UNY_Base rezeki orang memang sudah diatur sama Tuhan nder tapi banyak tangan-tangan yang juga ambil andil sebagai penyalur rezeki salah satunya rezeki KIPK. Kalo penyalur bener g mungkin bakal salah sasaran. Kalo penerima merasa mampu harusnya malu dan bisa menolak KIPK.,neutral
ko bisa yg nerima kipk di Undip banyak yg salah sasaran anj,negative
@tanyakanrl Banyak banget KIPK yang gak tepat sasaran. Salah pemerintah gak sihh??,negative
@tanyakanrl Keep it coming pls biar sistem kipk ini diketatkan lg. Gila ini mah kemungkinan mayoritas penerimanya salah sasaran,negative
ni orang kok sinting banget sih [penerima kipk yg salah sasaran],negative
awikwok bgt base undip lg gencer gencernya spill kipk salah sasaran wkwk what a tea,negative
drama kipk ini gila ya banyak bgt yang salah sasaran begini hadeh,negative
kipk undip passwordnya apaa?? salah sasaran semuaaa ,negative
permasalahan kipk atau bidikmisi kan dr dulu emang udh banyak yak wkwk skrg kerasa bngt boom nya pdhl mah dari dulu banyak bngt anak bidikmisi yg salah sasaran literally BANYAK BANGEETTT soalnya dlu kl kuota sisa kan bukaan lagi kek kesannya cm yg pnting menuhin kuota,negative
@takenpotatoo @sbmptnfess oalahh gitu ya kak tapi kak kebanyakan orang beropini kalo dpt kipk dan punya ip itu ktanya salah sasaran biasanya orang beli macboook itu yg jurusan apa si kak? semua jurusan ya?,negative
kupas tuntas penerima kipk yang salah sasaran (hot news1️⃣),negative
@pill0ows @takenpotatoo @sbmptnfess Yg pasti ipong nya jadul ga keluar negeri ga nongki2 dan pamer hedon di sosmed. Klo dia bangkrut ya bener2 gaya bangkrut. Bukan pura2 bangkrut klo ente pinter pasti tau apa yg bikin netijen ga suka KIPK yg salah sasaran ke kaum badjingan it,negative
Jirr kagak kelar banyak bgt kipk salah sasaran di undip,negative
